language,dialect,accent,target_language,text,translation,source
Caspian,Mazandarani,Tonekaboni,Standard Persian,دره بوشوم,دارم مي روم,http://www.deilamestan.ir/news_loader/news.aspx?index=173
Caspian,Mazandarani,Tonekaboni,Standard Persian,اُنه خرس بُخاره ، تَرکِنه ( مو کِلَندَنه ),خرس آن را بخورد ، می ترکد . ( موهایش می ریزد . ),https://pourkhalili.blogfa.com/post/46/%D9%81%D9%87%D8%B1%D8%B3%D8%AA-%DA%A9%D9%86%D8%A7%DB%8C%D8%A7%D8%AA-%D9%88-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D9%87%D8%A7%DB%8C-%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C-(-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%81-)-
Caspian,Mazandarani,Tonekaboni,Standard Persian,مره وشنأ هیسه,گشنمه,https://telegram.me/s/gilaki_rashti?before=95
Caspian,Mazandarani,Tonekaboni,Standard Persian,مۊ چأیی نۊخؤرم,من چای نمی‌خورم,https://telegram.me/s/gilaki_rashti?before=95
Caspian,Mazandarani,Tonekaboni,Standard Persian,عالی بوبوسه تی جان و قوربان برر,عالی بود؛ بوسه بر جانت، قربانت بروم,https://mahanmusic.net/song-sad-gilani/
Caspian,Mazandarani,Tonekaboni,Standard Persian,اَفتاب ( اَوتاو ) کُرا دربُمَه ؟,آفتاب از کدام سمت درآمده است؟,https://pourkhalili.blogfa.com/post/46/%D9%81%D9%87%D8%B1%D8%B3%D8%AA-%DA%A9%D9%86%D8%A7%DB%8C%D8%A7%D8%AA-%D9%88-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D9%87%D8%A7%DB%8C-%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C-(-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%81-)-
Caspian,Mazandarani,Tonekaboni,Standard Persian,اُنه خدا بَزَه,او را خدا زده است.,https://pourkhalili.blogfa.com/post/46/%D9%81%D9%87%D8%B1%D8%B3%D8%AA-%DA%A9%D9%86%D8%A7%DB%8C%D8%A7%D8%AA-%D9%88-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D9%87%D8%A7%DB%8C-%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C-(-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%81-)-
Caspian,Mazandarani,Tonekaboni,Standard Persian,چي درست هکردي,چي درست کردي,http://www.deilamestan.ir/news_loader/news.aspx?index=173
Caspian,Mazandarani,Tonekaboni,Standard Persian,kijâšon dare bušon,دخترها دارند می‌روند,https://fa.wikipedia.org/wiki/%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86
Caspian,Mazandarani,Tonekaboni,Standard Persian,kijâšon dabon bušon,دخترها داشتند می‌رفتند,https://fa.wikipedia.org/wiki/%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,ره‌وانناسه‌گان خاسییه‌یل فره‌ێگ ئه‌ڕاێ گیره‌ کردن شمارینه‌ و گیره‌ کردن ڕێگه‌ێ ئه‌ڕاێ ئازاد بین له‌ ده‌س فشار و ئسترسه‌یل ژیان و تاوشت ژان و خه‌م و خوسه‌ زانستنه‌.,روانشناسان خاصیت‌های بسیاری را برای گریه‌کردن برشمرده‌اند و گریه کردن را برای رها شدن از فشار استرس و تحمل درد و غم و غصه می‌دانند.,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,او مربا خواردن دری,اون مربا خوردن داره,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,له مدت عمرم ایجو غذایله نخواردمه,در مدت عمرم همچین غذاهایی نخورده‌ام,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,مناڵەیل و ئات ئەیال چۊنن؟,اهل و عیال چطور هستند؟,https://t.me/s/Zwan_kurdi_kalhuri?before=100
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,دستان خوش ئەڕا ای کلیپه که پخش کردینه درباری کلاش هرسینی,دستتان درد نکند برای پخش این کلیپ درباره گیوه هرسینی,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,ئاخ و داخ ‌‌ئەڕا میرات باوانمان که بێ پشتگیری که‌تێەسه پراوێز,ای داد و بیداد برای میراث پدرانمان که بی پشت و پناه مانده‌اند,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,اول باره بیشتریان دیونم,بیشترشان را اولین بار است که میبینم,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,ای گیان ئەڕا شارگمان,ای جان برای شهرمان,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,درود فره و ژنیل کورد له سراسر گیتی له کرماشان بگر تا کوردستان.,درود فراوان به زنان کورد سراسر دنیا از کرمانشاه گرفته تا کوردستان,Manual
Kurdish,Southern Kurdish,Southern Kurdish,Standard Persian,هه‌ر وه‌خت نان کردیاد هاتیاد چڕیاده‌مان ئه‌ڕا ناو نانکه‌ر و ئیمه‌ مناڵه‌یل گشت وه‌ رزاره‌و نیشتیایمنه‌ شانێ و چه‌وه‌ڕێ وسیایم نانه‌ ساجیه‌گانێ له‌ وه‌رتاوه‌ برشته‌ بکه‌ێد و به‌ێده‌ ده‌سمانه‌و.,هروقت نان درست می‌کرد صدایمان میزد. ما بچه‌ها هم همگی به‌صف کنارش می‌نشستیم و چشم به راه می‌ماندیم تا نان روی ساج برشته می‌شد و به دست‌مان می‌داد.,Manual
Luri,Bakhtiari,Chaharmahali,Standard Persian,بَر و آر,بردن و آوردن,https://www.tarafdari.com/node/1699552
Luri,Bakhtiari,Chaharmahali,Standard Persian,لیک و لاک,داد و فریاد,https://www.tarafdari.com/node/1699552
Luri,Bakhtiari,Chaharmahali,Standard Persian,خدا وا دیار ت ( دیار سرت) با,خدا نگهدار,https://farsikhan.ir/%D8%AA%D9%85%D8%A7%D9%85-%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA-%D8%AF%D8%B1%D9%85%D9%88%D8%B1%D8%AF-%DA%AF%D9%88%DB%8C%D8%B4-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C/
Luri,Bakhtiari,Chaharmahali,Standard Persian,ار نبو امری ز. حق، نیفته بلگی ز درخت.,اگر امر حضرت حق نباشد، برگی از درخت نمی‌افتد.,https://setare.com/fa/news/31251/%DB%B4%DB%B5-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C-%D9%87%D9%85%D8%B1%D8%A7%D9%87-%D8%A8%D8%A7-%D9%85%D8%B9%D9%86%DB%8C-%D9%88-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF-%D8%A2%D9%86-%D9%87%D8%A7/
