language,dialect,accent,target_language,original,translation,original_check,translation_check,source,human_original_check,human_translation_check
Persian,"Persian, Iranian",Isfahani,Standard Persian,پَ چرا نیمییَیْ؟,پس چرا نمی‌آیی؟,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,منا تو آ حسن,من و تو و حسن,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,گلا بلبلا سنبل,گل و بلبل و سنبل,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,۵ آ ۴ آ ۳,۵+۴+۳,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,ما وَم میَیم,ما هم می‌آییم,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ پَ چرا نیمیای؟,پس چرا نمی‌آیی؟,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ جَل باش,عجله کن,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,یه کُپه وخت,زمان زیاد,True,True,https://www.delgarm.com/isfahani-dialect-training.a240735,0.0,0.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,بولونی پَ کوجای پَ؟,پس کجایی عزیزم؟,True,True,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,کمرم شیت شد,کمرم داغون شد.,True,True,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,الای آکِله بیگیری,الهی مرض خوره بگیری,True,True,https://rangvarang.com/%D8%B2%D8%A8%D8%A7%D9%86-%D8%8C-%DA%AF%D9%88%DB%8C%D8%B4-%D9%88-%D9%84%D9%87%D8%AC%D9%87-%D9%85%D8%B1%D8%AF%D9%85-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86/,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ بیا دِ,بیا,True,True,https://goldensky.blogsky.com/1389/05/19/post-188/,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ جَل باش دِ,عجله کن,True,True,https://goldensky.blogsky.com/1389/05/19/post-188/,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,درا پیش کن,در را ببند,True,True,https://goldensky.blogsky.com/1389/05/19/post-188/,1.0,0.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ برو دِ,برو,True,True,https://forum.1roman.ir/threads/230169/,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,چوریا ورمالیدن تو سیبه.,جوجه‌ها داخل بن‌بست رفتند.,True,True,http://www.nooriazbehesht.ir/post/1439/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AF%D8%B3%D8%AA%D9%88%D8%B1-%D8%B2%D8%A8%D8%A7%D9%86-%D9%84%D9%87%D8%AC%D9%87-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C-%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B5%D9%88%D8%AA%DB%8C.html,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,گلا بلبلا و سنبل,گل و بلبل و سنبل,True,True,https://rasekhoon.net/forum/threadshow-18682-1.aspx,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,پَ چرا نیمیای؟,پس چرا نمی‌آیی؟,True,True,https://rasekhoon.net/forum/threadshow-18682-1.aspx,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,در ار پیش کن,در را ببند,True,True,http://saeedelahi64.parsiblog.com/Posts/20/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1+%D8%B2%D8%A8%D8%A7%D9%86+%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%D9%8A/,0.0,0.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,ای وای مند,حسرت به دل,True,True,https://eshterakatezaban.blogfa.com/post/1,0.0,0.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,آتیش کور کردن,خاموش کردن آتش,True,True,https://eshterakatezaban.blogfa.com/post/1,1.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,رو اُو بخندی,بمیری,True,True,https://eshterakatezaban.blogfa.com/post/1,0.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,پِس پِس کردن,اهمال کردن,True,True,https://eshterakatezaban.blogfa.com/post/1,0.0,1.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,سُک سُک کردن,دستکاری کردن,True,True,https://eshterakatezaban.blogfa.com/post/1,1.0,0.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,درا پيش کن,در را ببند,True,True,https://sadatsalehiabari.blogfa.com/post/3,0.0,0.0
Persian,"Persian, Iranian",Isfahani,Standard Persian,پَ تو کوجایی؟,پس تو کجایی؟,True,True,https://gheddis.blogsky.com/category/cat-6,1.0,1.0
