language,dialect,accent,country,text
Persian,Persian,General,Iran,غذا اونقدر دیر رسید که سرد شده بود، واقعا از اسنپ فود همچین انتظاری نداشتم، انقدر غذا دیر اومد که من خوابم برده بود و داداشم تحویل گرفته بود و الا امکان نداشت غذارو تحویل بگیرم
Persian,Persian,General,Iran,عالی عالی عالی. بهتر از این ساندویچ‌ها هیچ جای دنیا نخوردم.
Persian,Persian,General,Iran,غذا با ۱ ساعت تاخیر و به صورت سوخته تحویل شد. خیلی افتضاح بود و همچنین پیتزا سالامی و پپرونی هردو یک مواد رو داشت
Persian,Persian,General,Iran,همه چی عالی بود هم بسته بندی هم کیفیت غذا
Persian,Persian,General,Iran,نانش سفت بود برخلاف آنچه نوشته بودند، بسیار لطیف است
Persian,Persian,General,Iran,کیک رو له شده آوردید
Persian,Persian,General,Iran,نان بجای تکه کردن له کرده و در کیسه گذاشته شده
Persian,Persian,General,Iran,غذا افتضاح به دستمون رسید جعبه پاره شده بود متاسفم برای پیک اسنپ فود
Persian,Persian,General,Iran,بیشتر از یک ساعت طول کشید برای سوپرمارکت خیلی زیاده اونم با این فاصله
Persian,Persian,General,Iran,سلام. نان تازه نبود و سرد بود. خوب برشته نشده بود.
Persian,Persian,General,Iran,نان‌ها یخ و خشک بود
Persian,Persian,General,Iran,پیتزای فیلادلفیا مزه‌ی چربی بد میداد و شور بود کالباسی که رو پپرونی استفاده شده بود ربطی به پپرونی نداشت اون کالباس فقط شبیه پپرونی هستش و نوعی سالامی محسوب میشه کالباس روی سیب زمینی ویژه از کالباس مارتادلا یا خشک کم کیفیت کیلویی ۲۰ تومن استفاده شده بود ساندویچ فلیمر از قارچ زیاد آب انداخته بود و اونطور که ظاهرا قرار هست مزه‌ی آلفردو بده نمیداد و بیشتر بوی زهم قارچ شسته نشده میداد امیدوارم رسیدگی شود
Persian,Persian,General,Iran,زوکت عالیه فقط خواهش میکنم اجناستون رو بیشتر کنین ما از خرید سوپر بی نیاز بشیم، تلفنی بهشون میگیم همیشه یه چیز دیگه میفرستن، شما کارتون عالیه
Persian,Persian,General,Iran,درب بستنی باز و پاره شده بود
Persian,Persian,General,Iran,پیتزا کمی سرد شده بود و ساختارش در جعبه به هم ریخته بود ولی بسیار خوشمزه بود. ماندویچ نبود ولی طعمش رو خیلی دوست نداشتم. نوشابه خنک بود.
Persian,Persian,General,Iran,مواد اولیه تازه و با کیفیت خیلی عالی و خوشمزه بود به موقع و داغ به دستمون رسید مرسی پسر خوب
Persian,Persian,General,Iran,اکبر جوجه فوق العاده افتضاح بود …مقدار کته خیلی کم بود.. واقعا جای تاسف داره
Persian,Persian,General,Iran,بسیار عالی-باتشکر از دومینوز و اسنپ فود
Persian,Persian,General,Iran,متاسفانه بجای کتل چیپس ۸ هزار تومنی چیپس چی توز ۴ هزار تومنی آوردن. اسنپ فود لطفا مبلغ تفاوت رو به حساب من اضافه کنید
Persian,Persian,General,Iran,در کل عالی بود
Persian,Persian,General,Iran,پیتزا سبزیجات خیلی بد بود. و نان سیر و کوردن بلو خوب بود ولی کوردن بلو قبلا خیلی بهتر بود
Persian,Persian,General,Iran,سرد به دستم رسید. و حجم پیتزا خیلی کم شده بود.
Persian,Persian,General,Iran,بجای دستمال توالت، دستمال آشپز خانه آورده شده ٢ عدد از تخم مرغ‌ها شکسته بود مارک شیر روی شیشه چاپ-ن-ده و مشخص نیست شیر مال کدام شرکت می‌باشد ١٤٠٠٠٠ هزار تومان من پرداخت کردم، جمع فاکتور ١٣٥٨٠٠ تومان بوده، ٢٥٠٠ تومان به حساب برگشت داده شده و مابقی معلوم نیست چی شده
Persian,Persian,General,Iran,نودل ٦٥ گرمی سفارش دادم بجاش برام ٢ تا کوچک فرستادن. یک تماس هم نگرفتن که موضوع رو بیان کنن. من اگر ٢ تا کوچک میخواستم خودم سفارش میدادم. سفارشات رو هم کم فرستادن. تن و کنسرو بود که نفرستادن. در مجموع بی دقت و نا منظم بودن. دیگه سفارش نمیدم از اینجا.
Persian,Persian,General,Iran,بسیار عالی. طعمش از خود پیتزاهای آمریکا هم بهتره. اگرجای امتیاز بیشتر از ۵ هم بود من بیشترین امتیاز رو میدادم. سپاس فراوان از مدیریت و پرسنل زحمتکش پیتزاسیب شعبه ارتش. پایدارباشید
Persian,Persian,General,Iran,خیلی شوور بود دوتا پر سوسیس و سس بدمزه عجب افتضاحی بود سیب اقا
Persian,Persian,General,Iran,بسیار عالی و خوشمزه بود بسته بندی فوق العاده بود پیک سریع رسید و خیلی مودب بود غذا فوق العاده گرم بود
Persian,Persian,General,Iran,پیتزا واقعا بد بود، فیله خوب بود در کل دیگر سفارش نمی‌دهم
Persian,Persian,General,Iran,کیفیت غذا خوب بود ولی عالی نبود. مناسب بود.
Persian,Persian,General,Iran,محتویات نسبت به قیمت بسیار ضعیف بود
Persian,Persian,General,Iran,غذا عالى خیلى هم داغ و زود بهم رسید ممنون
Persian,Persian,General,Iran,همه چیز مثل لیست انتخابی و زمان هم تقریبا ۲۰ دقیقه طول کشید
Persian,Persian,General,Iran,پر کشمش و تازه و سلامت و خوشمزه! فقط یه انتقاد دارم: کسایی مثل من که شیرینی جویی میگیرن معمولا برا انتخاب سلامت تره، و برا همین بهتره خیلی کم شیرین‌تر باشه، بیش از حد شیرین بود جوری که تو ذوق میزد.
